"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
1,1,280000,"diesel",2967,176,10400,7800
2,1,266800,"diesel",2967,165,4880,3660
3,2,188550,"diesel",1968,105,11900,8925
4,2,220000,"diesel",1968,105,13550,10162
5,2,309000,"diesel",2496,132,2000,1500
6,3,107600,"diesel",1968,103,19444,14583
7,2,137469,"bencinski",1595,75,3500,2625
8,2,308700,"diesel",1896,74,2880,2160
9,1,178300,"diesel",1968,140,16999,12749
10,2,280000,"bencinski",1984,147,4500,3375
11,1,163200,"diesel",1968,130,15999,11999
12,2,147758,"diesel",1968,100,14800,11100
13,4,286411,"diesel",2967,171,13990,10492
14,4,141100,"diesel",2967,200,53777,40333
15,1,160000,"diesel",2967,160,25500,19125
16,2,270000,"diesel",1968,105,6990,5242
17,2,228000,"diesel",1968,103,4390,3292
18,2,200000,"diesel",1968,130,15300,11475
19,1,189728,"diesel",1968,140,22999,17249
20,5,115000,"bencinski",1595,75,6400,4800
21,1,136000,"diesel",1968,140,22300,16725
22,2,235000,"diesel",1968,105,6990,5242
23,5,140000,"diesel",1968,110,15880,11910
24,1,187500,"diesel",1968,130,18999,14249
25,2,149849,"diesel",1968,105,13899,10424
26,5,249000,"diesel",1896,77,3890,2918
27,2,319000,"diesel",1896,85,5590,4192
28,2,217000,"diesel",1968,105,8650,6488
29,6,198300,"diesel",2967,150,16600,12450
30,4,269000,"diesel",2967,171,11900,8925
31,3,12000,"diesel",1968,103,16600,12450
32,7,131800,"diesel",1598,77,8750,6562
33,2,198000,"diesel",1968,105,11850,8888
34,2,226000,"diesel",1968,103,5750,4312
35,2,317,"diesel",2496,132,2850,2138
36,2,110799,"diesel",1968,140,24890,18668
37,2,360000,"diesel",1896,96,2490,1868
38,2,217066,"diesel",1968,125,7990,5992
39,1,211619,"diesel",2967,171,8950,6712
40,2,170600,"diesel",1968,110,13444,10083
41,2,240000,"diesel",1968,110,12990,9742
42,2,175212,"diesel",1968,130,14250,10688
43,8,129490,"diesel",1995,107,17990,13492
44,9,220000,"diesel",1995,90,3250,2438
45,10,278000,"diesel",2497,130,4999,3749
46,11,249300,"diesel",1995,90,5490,4118
47,12,156395,"diesel",1995,130,10999,8249
48,11,265500,"diesel",1995,90,4400,3300
49,13,264000,"diesel",1995,120,4600,3450
50,13,289987,"diesel",1995,130,5990,4492
51,9,210000,"diesel",1995,105,9750,7312
52,11,164223,"diesel",1995,105,13880,10410
53,14,131651,"diesel",1598,85,12990,9742
54,11,218000,"diesel",1995,100,5990,4492
55,13,231358,"diesel",1995,130,5900,4425
56,15,43900,"diesel",2993,195,57218,42914
57,13,297000,"diesel",1995,120,5750,4312
58,16,196000,"diesel",1995,136,10700,8025
59,11,350000,"diesel",1995,85,1990,1492
60,9,148000,"diesel",1995,110,14440,10830
61,10,315000,"diesel",2497,120,4300,3225
62,17,157000,"diesel",1995,130,7190,5392
63,18,77000,"diesel",1995,140,23200,17400
64,19,129257,"diesel",1496,85,13990,10492
65,15,119000,"diesel",2993,190,28500,21375
66,18,184000,"diesel",1995,140,16490,12368
67,19,122490,"diesel",1496,85,14990,11242
68,19,142841,"diesel",1496,85,13990,10492
69,11,218000,"diesel",1995,105,5950,4462
70,11,260000,"diesel",1995,105,6990,5242
71,20,114883,"diesel",1560,88,11290,8468
72,20,168500,"bencinski",1598,88,1750,1312
73,20,122590,"diesel",1560,88,11590,8692
74,21,215000,"diesel",1560,84,6300,4725
75,22,188000,"diesel",1398,50,3600,2700
76,23,154500,"diesel",1997,120,13700,10275
77,24,255000,"diesel",1997,100,1550,1162
78,20,219000,"diesel",1560,82,3550,2662
79,22,126000,"diesel",1560,68,5450,4088
80,20,47967,"diesel",1560,68,10980,8235
81,22,180432,"bencinski",1360,65,2499,1874
82,24,257000,"diesel",1997,120,5390,4042
83,25,201000,"bencinski",1587,80,1800,1350
84,20,86000,"bencinski",1587,80,3200,2400
85,24,320000,"diesel",1997,100,3700,2775
86,22,60600,"bencinski",1199,60,6990,5242
87,20,64566,"bencinski",1598,88,6990,5242
88,20,206336,"diesel",1997,100,5990,4492
89,20,214481,"bencinski",1587,80,2190,1642
90,22,99500,"diesel",1560,68,8499,6374
91,20,70200,"diesel",1560,68,8500,6375
92,20,111300,"diesel",1997,110,11000,8250
93,20,128733,"diesel",1560,88,10290,7718
94,25,220750,"bencinski",1587,80,1700,1275
95,24,198000,"diesel",1997,103,5400,4050
96,26,222646,"bencinski",1360,54,1690,1268
97,24,290000,"diesel",1997,80,1100,825
98,24,144790,"diesel",1997,103,8490,6368
99,24,170000,"diesel",1560,82,6900,5175
100,25,170000,"bencinski",1587,70,1350,1012
101,25,117000,"bencinski",1587,80,3290,2468
102,20,117365,"diesel",1560,88,11990,8992
103,22,126000,"bencinski",1360,54,1450,1088
104,22,179900,"diesel",1560,68,4750,3562
105,20,190516,"diesel",1997,120,8360,6270
106,21,238515,"diesel",1997,66,2750,2062
107,23,95000,"diesel",2000,134,16590,12442
108,20,189000,"bencinski",1587,80,2600,1950
109,20,232000,"diesel",1997,100,4150,3112
110,24,370000,"diesel",1997,80,1000,750
111,27,161485,"bencinski",1242,44,3490,2618
112,28,159457,"diesel",1910,63,1050,788
113,27,119000,"diesel",1248,51,2990,2242
114,29,113000,"bencinski",1108,40,1650,1238
115,30,200000,"diesel",1910,88,1999,1499
116,28,180000,"bencinski",1242,44,1380,1035
117,28,166000,"bencinski",1242,48,3690,2768
118,31,130000,"diesel",1248,55,6700,5025
119,32,330000,"diesel",1910,88,1450,1088
120,30,214000,"diesel",2387,147,2490,1868
121,33,213000,"diesel",1598,77,4290,3218
122,34,133000,"diesel",1956,99,6990,5242
123,31,30000,"bencinski",569,16,13600,10200
124,35,100000,"bencinski",1747,96,2299,1724
125,36,157000,"diesel",1956,103,8430,6322
126,32,128000,"diesel",1910,88,1999,1499
127,37,252900,"diesel",1910,77,1190,892
128,38,98500,"bencinski",1242,51,6550,4912
129,39,262000,"diesel",1910,77,1890,1418
130,38,35000,"diesel",1248,70,8990,6742
131,30,205000,"diesel",1910,88,2299,1724
132,33,135000,"bencinski",1368,110,4990,3742
133,30,201537,"diesel",1910,88,3499,2624
134,28,160000,"bencinski",1242,48,1990,1492
135,28,190000,"bencinski",1242,59,1590,1192
136,40,178000,"bencinski",1368,70,1990,1492
137,33,107000,"bencinski",1368,110,4790,3592
138,32,232500,"diesel",1910,103,1100,825
139,41,246000,"diesel",1997,80,3150,2362
140,28,215000,"bencinski",1368,57,1299,974
141,28,174000,"bencinski",1242,44,19900,14925
142,42,230000,"diesel",1997,120,9300,6975
143,43,357000,"diesel",1896,110,2099,1574
144,44,81301,"diesel",1997,103,8999,6749
145,45,180000,"diesel",1560,70,7250,5438
146,42,191000,"diesel",1753,92,4100,3075
147,42,235000,"diesel",1753,92,3490,2618
148,46,143285,"bencinski",1388,71,5100,3825
149,47,206000,"diesel",1997,103,4990,3742
150,45,167858,"diesel",1753,85,3880,2910
151,45,218485,"diesel",1560,74,3440,2580
152,45,158800,"diesel",1499,88,9990,7492
153,45,102632,"diesel",1997,110,10990,8242
154,47,150602,"diesel",1997,110,15990,11992
155,45,121622,"diesel",1997,110,11990,8992
156,47,268614,"diesel",1753,92,5450,4088
157,45,230790,"diesel",1753,85,2950,2212
158,45,216000,"diesel",1560,77,6900,5175
159,45,251949,"diesel",1560,85,4990,3742
160,47,146230,"diesel",1997,120,9390,7042
161,48,112476,"diesel",1997,100,8200,6150
