serijska_stevilka,znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
1001,Audi,A6,280000,diesel,2967,176,10400
1002,Audi,A6,266800,diesel,2967,165,4880
1003,Audi,A4,188550,diesel,1968,105,11900
1004,Audi,A4,220000,diesel,1968,105,13550
1005,Audi,A4,309000,diesel,2496,132,2000
1006,Audi,Q3,107600,diesel,1968,103,19444
1007,Audi,A4,137469,bencinski,1595,75,3500
1008,Audi,A4,308700,diesel,1896,74,2880
1009,Audi,A6,178300,diesel,1968,140,16999
1010,Audi,A4,280000,bencinski,1984,147,4500
1011,Audi,A6,163200,diesel,1968,130,15999
1012,Audi,A4,147758,diesel,1968,100,14800
1013,Audi,Q7,286411,diesel,2967,171,13990
1014,Audi,Q7,141100,diesel,2967,200,53777
1015,Audi,A6,160000,diesel,2967,160,25500
1016,Audi,A4,270000,diesel,1968,105,6990
1017,Audi,A4,228000,diesel,1968,103,4390
1018,Audi,A4,200000,diesel,1968,130,15300
1019,Audi,A6,189728,diesel,1968,140,22999
1020,Audi,A3,115000,bencinski,1595,75,6400
1021,Audi,A6,136000,diesel,1968,140,22300
1022,Audi,A4,235000,diesel,1968,105,6990
1023,Audi,A3,140000,diesel,1968,110,15880
1024,Audi,A6,187500,diesel,1968,130,18999
1025,Audi,A4,149849,diesel,1968,105,13899
1026,Audi,A3,249000,diesel,1896,77,3890
1027,Audi,A4,319000,diesel,1896,85,5590
1028,Audi,A4,217000,diesel,1968,105,8650
1029,Audi,A5,198300,diesel,2967,150,16600
1030,Audi,Q7,269000,diesel,2967,171,11900
1031,Audi,Q3,12000,diesel,1968,103,16600
1032,Audi,A1,131800,diesel,1598,77,8750
1033,Audi,A4,198000,diesel,1968,105,11850
1034,Audi,A4,226000,diesel,1968,103,5750
1035,Audi,A4,317,diesel,2496,132,2850
1036,Audi,A4,110799,diesel,1968,140,24890
1037,Audi,A4,360000,diesel,1896,96,2490
1038,Audi,A4,217066,diesel,1968,125,7990
1039,Audi,A6,211619,diesel,2967,171,8950
1040,Audi,A4,170600,diesel,1968,110,13444
1041,Audi,A4,240000,diesel,1968,110,12990
1042,Audi,A4,175212,diesel,1968,130,14250
1043,BMW,318D,129490,diesel,1995,107,17990
1044,BMW,118d,220000,diesel,1995,90,3250
1045,BMW,525d,278000,diesel,2497,130,4999
