znamka,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena

Audi A3,251627,diesel,1968,103,3.699

Audi A6,164000,diesel,1968,140,26.990

Audi A4,247000,diesel,1896,96,3.650

Audi A4,315000,diesel,1968,125,6.200

Audi Q5,232400,diesel,1968,125,12.990

Audi A5,136210,bencinski,1984,155,15.990

Audi A4,90000,diesel,1968,105,11.300

Audi A4,135980,diesel,1968,110,17.990

Audi A4,204000,diesel,1968,105,9.850

Audi A3,53000,diesel,1598,81,15.300

Audi A4,268000,diesel,1968,105,10.100

Audi A4,217353,diesel,1968,100,8.999

Audi A4,205963,diesel,1968,88,8.990

Audi A4,150000,diesel,1968,110,21.990

Audi A3,185300,bencinski,1595,74,1.200

Audi A4,67156,diesel,1968,110,23.960

Audi A8,430000,diesel,2967,171,7.200

Audi A4,210000,diesel,1896,85,4.450

Audi A4,184130,bencinski,1781,120,2.990

Audi A3,108894,diesel,1968,110,15.860

Audi A4,185055,diesel,1968,105,9.990

Audi A4,204000,diesel,1968,100,9.950

Audi A4,209000,diesel,1968,100,10.290

Audi A4,382757,diesel,1896,96,3.590

Audi A5,162871,diesel,1968,140,22.999

Audi A6,228673,diesel,2967,171,7.500

Audi A3,227985,diesel,1896,77,3.990

Audi A6,178130,diesel,1968,100,13.000

Audi A4,249923,diesel,1968,140,12.990

Audi Q7,272248,diesel,2967,171,14.390

Audi A6,208845,diesel,1968,130,14.400

Audi A6,223505,diesel,1968,140,18.999

Audi A4,239070,diesel,1968,103,4.990

Audi A3,247000,diesel,1968,103,7.990

Audi Q7,286407,diesel,2967,171,13.990

Audi A4,274322,diesel,1968,88,7.990

Audi A6,125000,diesel,1968,140,25.590

Audi A4,59750,diesel,1968,140,28.380

Audi A4,239000,diesel,1968,105,8.850

Audi A3,199831,diesel,1968,110,12.490

Audi A4,277000,diesel,1968,103,3.999

Audi A3,83000,diesel,1968,110,16.650

Audi A6,37515,diesel,1968,140,39.999

Audi A4,164294,diesel,1968,110,21.999

Audi A1,62500,bencinski,1390,136,13.800

Audi A6,289765,diesel,2698,132,4.990

Audi A4,260000,diesel,1968,88,8.200

Audi A4,420000,diesel,1896,74,1.599

