znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
BMW,318D,129490,diesel,1995,107,17990
BMW,118d,220000,diesel,1995,90,3250
BMW,525d,278000,diesel,2497,130,4999
BMW,318d,249300,diesel,1995,90,5490
BMW,320Cd,156395,diesel,1995,130,10999
BMW,318d,265500,diesel,1995,90,4400
BMW,320d,264000,diesel,1995,120,4600
BMW,320d,289987,diesel,1995,130,5990
BMW,118d,210000,diesel,1995,105,9750
BMW,318d,164223,diesel,1995,105,13880
BMW,116d,131651,diesel,1598,85,12990
BMW,318d,218000,diesel,1995,100,5990
BMW,320d,231358,diesel,1995,130,5900
BMW,730d,43900,diesel,2993,195,57218
BMW,320d,297000,diesel,1995,120,5750
BMW,316d,196000,diesel,1995,136,10700
BMW,318d,350000,diesel,1995,85,1990
BMW,118d,148000,diesel,1995,110,14440
BMW,525d,315000,diesel,2497,120,4300
BMW,120d,157000,diesel,1995,130,7190
BMW,520d,77000,diesel,1995,140,23200
BMW,216d,129257,diesel,1496,85,13990
BMW,730d,119000,diesel,2993,190,28500
BMW,520d,184000,diesel,1995,140,16490
BMW,216d,122490,diesel,1496,85,14990
BMW,216d,142841,diesel,1496,85,13990
BMW,318d,218000,diesel,1995,105,5950
BMW,318d,260000,diesel,1995,105,6990
