znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Citroen,C4,114883,diesel,1560,88,11290
Citroen,C4,168500,bencinski,1598,88,1750
Citroen,C4,122590,diesel,1560,88,11590
Citroen,Berlingo,215000,diesel,1560,84,6300
Citroen,C3,188000,diesel,1398,50,3600
Citroen,DS5,154500,diesel,1997,120,13700
Citroen,C5,255000,diesel,1997,100,1550
Citroen,C4,219000,diesel,1560,82,3550
Citroen,C3,126000,diesel,1560,68,5450
Citroen,C4,47967,diesel,1560,68,10980
Citroen,C3,180432,bencinski,1360,65,2499
Citroen,C5,257000,diesel,1997,120,5390
Citroen,Xsara,201000,bencinski,1587,80,1800
Citroen,C4,86000,bencinski,1587,80,3200
Citroen,C5,320000,diesel,1997,100,3700
Citroen,C3,60600,bencinski,1199,60,6990
Citroen,C4,64566,bencinski,1598,88,6990
Citroen,C4,206336,diesel,1997,100,5990
Citroen,C4,214481,bencinski,1587,80,2190
Citroen,C3,99500,diesel,1560,68,8499
Citroen,C4,70200,diesel,1560,68,8500
Citroen,C4,111300,diesel,1997,110,11000
Citroen,C4,128733,diesel,1560,88,10290
Citroen,Xsara,220750,bencinski,1587,80,1700
Citroen,C5,198000,diesel,1997,103,5400
Citroen,C2,222646,bencinski,1360,54,1690
Citroen,C5,290000,diesel,1997,80,1100
Citroen,C5,144790,diesel,1997,103,8490
Citroen,C5,170000,diesel,1560,82,6900
Citroen,Xsara,170000,bencinski,1587,70,1350
Citroen,Xsara,117000,bencinski,1587,80,3290
Citroen,C4,117365,diesel,1560,88,11990
Citroen,C3,126000,bencinski,1360,54,1450
Citroen,C3,179900,diesel,1560,68,4750
Citroen,C4,190516,diesel,1997,120,8360
Citroen,Berlingo,238515,diesel,1997,66,2750
Citroen,DS5,95000,diesel,2000,134,16590
Citroen,C4,189000,bencinski,1587,80,2600
Citroen,C4,232000,diesel,1997,100,4150
Citroen,C5,370000,diesel,1997,80,1000
