znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Fiat,Panda,161485,bencinski,1242,44,3490
Fiat,Punto,159457,diesel,1910,63,1050
Fiat,Panda,119000,diesel,1248,51,2990
Fiat,Cinquecento,113000,bencinski,1108,40,1650
Fiat,Croma,200000,diesel,1910,88,1999
Fiat,Punto,180000,bencinski,1242,44,1380
Fiat,Punto,166000,bencinski,1242,48,3690
Fiat,500C,130000,diesel,1248,55,6700
Fiat,Stilo,330000,diesel,1910,88,1450
Fiat,Croma,214000,diesel,2387,147,2490
Fiat,Bravo,213000,diesel,1598,77,4290
Fiat,Sedici,133000,diesel,1956,99,6990
Fiat,500C,30000,bencinski,569,16,13600
Fiat,Barchetta,100000,bencinski,1747,96,2299
Fiat,Freemont,157000,diesel,1956,103,8430
Fiat,Stilo,128000,diesel,1910,88,1999
Fiat,Multipla,252900,diesel,1910,77,1190
Fiat,500,98500,bencinski,1242,51,6550
Fiat,Doblo,262000,diesel,1910,77,1890
Fiat,500,35000,diesel,1248,70,8990
Fiat,Croma,205000,diesel,1910,88,2299
Fiat,Bravo,135000,bencinski,1368,110,4990
Fiat,Croma,201537,diesel,1910,88,3499
Fiat,Punto,160000,bencinski,1242,48,1990
Fiat,Punto,190000,bencinski,1242,59,1590
Fiat,Idea,178000,bencinski,1368,70,1990
Fiat,Bravo,107000,bencinski,1368,110,4790
Fiat,Stilo,232500,diesel,1910,103,1100
Fiat,Scudo,246000,diesel,1997,80,3150
Fiat,Punto,215000,bencinski,1368,57,1299
Fiat,Punto,174000,bencinski,1242,44,19900
