znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Ford,S-Max,230000,diesel,1997,120,9300
Ford,Galaxy,357000,diesel,1896,110,2099
Ford,C-Max,81301,diesel,1997,103,8999
Ford,Focus,180000,diesel,1560,70,7250
Ford,S-Max,191000,diesel,1753,92,4100
Ford,S-Max,235000,diesel,1753,92,3490
Ford,Fiesta,143285,bencinski,1388,71,5100
Ford,Mondeo,206000,diesel,1997,103,4990
Ford,Focus,167858,diesel,1753,85,3880
Ford,Focus,218485,diesel,1560,74,3440
Ford,Focus,158800,diesel,1499,88,9990
Ford,Focus,102632,diesel,1997,110,10990
Ford,Mondeo,150602,diesel,1997,110,15990
Ford,Focus,121622,diesel,1997,110,11990
Ford,Mondeo,268614,diesel,1753,92,5450
Ford,Focus,230790,diesel,1753,85,2950
Ford,Focus,216000,diesel,1560,77,6900
Ford,Focus,251949,diesel,1560,85,4990
Ford,Mondeo,146230,diesel,1997,120,9390
Ford,Kuga,112476,diesel,1997,100,8200
Ford,Tourneo,240000,diesel,2000,82,3890
Ford,Galaxy,290633,diesel,1896,85,2890
Ford,S-Max,128789,diesel,1997,103,13990
Ford,C-Max,117503,diesel,1499,70,10290
Ford,C-Max,40000,bencinski,1596,74,5190
Ford,Mondeo,165441,diesel,1997,103,8990
Ford,S-Max,174000,diesel,1997,103,10990
Ford,C-Max,168000,diesel,1560,66,4480
Ford,Focus,191664,diesel,1560,70,7590
Ford,C-Max,163000,diesel,1560,85,6690
Ford,S-Max,291000,diesel,1997,103,2770
Ford,Ranger,130000,diesel,3200,149,25000
Ford,Focus,214000,diesel,1560,66,2590
Ford,S-Max,338000,diesel,1997,103,2999
Ford,Focus,195702,diesel,1753,66,1150
Ford,S-Max,119280,diesel,1997,154,22990
Ford,Focus,128848,diesel,1997,110,11999
Ford,Kuga,43059,diesel,1997,110,19990
