znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Honda,CR-V,82926,diesel,1597,88,19950
Honda,Civic,176200,diesel,2204,103,4290
Honda,Accord,262900,diesel,2204,103,2800
Honda,HR-V,232000,bencinski,1590,77,1200
Honda,Civic,184300,bencinski,1590,81,2200
Honda,CR-V,81000,diesel,1597,118,23700
Honda,Jazz,115000,bencinski,1339,73,6200
Honda,Civic,156140,diesel,1597,88,9350
Honda,Jazz,146000,bencinski,1339,61,3390
Honda,Civic,148000,diesel,1597,88,12991
Honda,Accord,122210,bencinski,1997,115,12100
Honda,Civic,178000,bencinski,1590,81,1390
Honda,Civic,260000,diesel,2204,103,3490
Honda,Accord,336000,diesel,2199,110,6500
Honda,Civic,160000,bencinski,1590,81,1590
Honda,Legend,350000,bencinski,3471,217,4500
Honda,Accord,137214,diesel,2199,110,11810
Honda,Accord,400000,bencinski,1998,114,2100
Honda,Integra,179567,bencinski,1797,140,10700
Honda,Civic,71000,diesel,2199,110,10699
Honda,Jazz,48977,bencinski,1198,66,6790
Honda,CR-V,196000,bencinski,1998,110,3600
Honda,Accord,180000,diesel,2204,103,1950
Honda,CR-V,275000,diesel,2204,103,6000
Honda,Civic,82746,diesel,1597,88,12290
Honda,Accord,190000,bencinski,1998,114,2890
Honda,CR-V,102000,diesel,1597,88,18750
Honda,Accord,135000,bencinski,1998,114,4000
Honda,Civic,115000,diesel,1597,88,13790
Honda,Accord,202336,bencinski,1998,114,4500
Honda,Accord,216000,bencinski,2354,148,9390
Honda,FR-V,121503,bencinski,1668,92,5999
Honda,Accord,140850,bencinski,1997,115,12990
Honda,Civic,75981,diesel,1597,88,11270
Honda,Accord,281000,diesel,2199,110,7850
Honda,Accord,320000,diesel,2204,103,3450
Honda,Jazz,12000,bencinski,1318,75,13990
Honda,CR-V,229101,diesel,2204,103,7280
Honda,Jazz,93000,bencinski,1339,73,5490
Honda,HR-V,209806,bencinski,1590,77,1599
Honda,Jazz,278083,bencinski,1339,61,2000
Honda,Civic,182000,diesel,2204,103,4750
