znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Mercedes-Benz,E-Razred,64321,diesel,1950,110,34990
Mercedes-Benz,S-Razred,230000,bencinski,3199,165,6500
Mercedes-Benz,CLS-Razred,212700,diesel,2987,165,15800
Mercedes-Benz,E-Razred,118953,diesel,2143,150,22990
Mercedes-Benz,CLS-Razred,224000,diesel,2987,165,9900
Mercedes-Benz,C-Razred,156000,diesel,2143,100,11550
Mercedes-Benz,A-Razred,175000,diesel,1991,80,3500
Mercedes-Benz,E-Razred,126547,diesel,2143,150,22499
Mercedes-Benz,S-Razred,415515,diesel,2987,173,13900
Mercedes-Benz,C-Razred,116715,diesel,2143,125,20000
Mercedes-Benz,C-Razred,134000,bencinski,1796,90,5490
Mercedes-Benz,E-Razred,370000,diesel,2685,125,1290
Mercedes-Benz,CLA-Razred,6600,bencinski,1595,90,28200
Mercedes-Benz,E-Razred,248000,diesel,2700,130,6900
Mercedes-Benz,E-Razred,380000,diesel,2148,125,5300
Mercedes-Benz,E-Razred,134000,diesel,2143,125,24400
Mercedes-Benz,C-Razred,224400,diesel,2143,100,7980
Mercedes-Benz,C-Razred,144000,diesel,2143,150,26850
Mercedes-Benz,S-Razred,266265,diesel,2987,173,12765
Mercedes-Benz,SL-Razred,90000,bencinski,3498,200,25500
Mercedes-Benz,C-Razred,143679,diesel,2143,100,15500
Mercedes-Benz,C-Razred,172344,bencinski,1796,120,4199
Mercedes-Benz,C-Razred,230000,diesel,2143,125,10990
Mercedes-Benz,C-Razred,270127,diesel,2148,105,3490
Mercedes-Benz,C-Razred,35200,bencinski,1595,115,19990
Mercedes-Benz,E-Razred,259000,diesel,2987,165,7950
Mercedes-Benz,C-Razred,94523,diesel,2143,125,21990
Mercedes-Benz,C-Razred,153962,diesel,2143,125,24985
Mercedes-Benz,E-Razred,16000,bencinski,1991,135,41500
Mercedes-Benz,C-Razred,185700,diesel,2143,125,20990
Mercedes-Benz,ML-Razred,269740,diesel,2987,140,8750
Mercedes-Benz,B-Razred,192144,diesel,1991,80,5990
Mercedes-Benz,C-Razred,240000,diesel,2148,110,4190
Mercedes-Benz,E-Razred,178448,diesel,2143,150,24990
Mercedes-Benz,CLS-Razred,172400,diesel,2143,150,22500
Mercedes-Benz,B-Razred,99481,diesel,1461,80,16460
Mercedes-Benz,C-Razred,134870,diesel,1598,100,17440
Mercedes-Benz,CLA-Razred,175000,diesel,2143,100,18900
Mercedes-Benz,B-Razred,113000,diesel,1461,80,13990
Mercedes-Benz,C-Razred,154000,diesel,2148,125,8490
