znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Nissan,Micra,180000,bencinski,1240,59,2300
Nissan,Terrano,260000,diesel,2663,74,1700
Nissan,Note,48800,bencinski,1198,59,7250
Nissan,Qashqai,210000,diesel,1461,81,5800
Nissan,Qashqai,64172,diesel,1598,96,15990
Nissan,Note,107957,diesel,1461,66,7990
Nissan,Note,133000,bencinski,1386,65,5490
Nissan,Qashqai,163000,bencinski,1997,104,5990
Nissan,Micra,170000,bencinski,1240,59,1390
Nissan,Note,79000,bencinski,1198,59,6990
Nissan,Micra,155000,bencinski,1240,59,1290
Nissan,Terrano,258900,diesel,2664,92,3300
Nissan,Note,101000,bencinski,1386,65,3990
Nissan,Pathfinder,226300,diesel,2488,126,7800
Nissan,Micra,120000,bencinski,1240,59,2990
Nissan,Micra,201000,diesel,1461,60,1950
Nissan,Note,119957,bencinski,1386,65,5250
Nissan,Qashqai,167434,diesel,1994,110,8700
Nissan,X-Trail,222349,diesel,2184,84,2750
Nissan,Note,83000,bencinski,1386,65,5700
Nissan,Juke,79900,bencinski,1197,85,10500
Nissan,Micra,190000,diesel,1461,48,1990
Nissan,Juke,85563,bencinski,1618,140,9995
Nissan,X-Trail,140000,diesel,2184,100,5700
Nissan,Navara,112000,diesel,2488,140,14350
Nissan,Qashqai,55000,bencinski,1197,85,15300
Nissan,Qashqai,86000,diesel,1598,96,12990
Nissan,Juke,79000,diesel,1461,81,9600
Nissan,Almera,170000,bencinski,1497,72,1100
Nissan,Note,129000,bencinski,1386,65,3600
Nissan,Almera,260000,diesel,150,110,1000
Nissan,Qashqai,88502,diesel,1461,81,11500
Nissan,Micra,143000,bencinski,1598,81,2850
Nissan,Almera,140000,bencinski,1769,85,1590
Nissan,Qashqai,152000,diesel,1461,81,14490
Nissan,Micra,251000,diesel,1461,60,1500
Nissan,Terrano,167507,diesel,2664,92,6550
Nissan,Qashqai,93390,diesel,1598,96,13499
Nissan,Terrano,303000,diesel,2663,73,1500
Nissan,Micra,179567,diesel,1461,48,2100
Nissan,Juke,68809,bencinski,1598,86,8290
Nissan,Juke,156463,diesel,1461,81,8900
