znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Opel,Meriva,169000,diesel,1686,74,2860
Opel,Zafira,134874,diesel,1598,88,11450
Opel,Vectra,189000,bencinski,1796,90,2200
Opel,Zafira,251000,diesel,1910,110,4990
Opel,Corsa,138000,bencinski,1229,59,3000
Opel,Corsa,155000,bencinski,1229,59,2555
Opel,Mokka,120000,diesel,1686,96,11590
Opel,Zafira,190000,diesel,1910,70,3600
Opel,Astra,249735,diesel,1686,74,2450
Opel,Astra,138000,diesel,1598,81,8650
Opel,Corsa,87000,bencinski,1229,59,2300
Opel,Meriva,246000,diesel,1686,74,1380
Opel,Tigra,159878,bencinski,1796,92,2899
Opel,Astra,196543,diesel,1686,74,2999
Opel,Astra,189000,diesel,1686,96,6650
Opel,Tigra,198585,bencinski,1364,66,2899
Opel,Astra,141000,bencinski,1598,85,6150
Opel,Astra,95600,bencinski,1600,85,5000
Opel,Astra,172000,diesel,17,74,7450
Opel,Insignia,230000,diesel,1956,96,5390
Opel,Omega,360000,bencinski,2597,132,1250
Opel,Astra,97000,bencinski,1364,66,2750
Opel,Astra,30000,bencinski,1399,110,16600
Opel,Astra,199000,diesel,1686,74,2750
Opel,Insignia,220000,diesel,1956,118,5390
Opel,Insignia,188500,diesel,1956,96,7700
Opel,Astra,280000,diesel,1686,81,2100
Opel,Meriva,25000,bencinski,1364,88,11750
Opel,Corsa,123566,diesel,1248,55,4822
Opel,Astra,228000,diesel,1910,88,3490
Opel,Agila,164000,diesel,1300,55,4200
Opel,Meriva,34000,diesel,1686,81,8990
Opel,Astra,216000,diesel,1686,59,2400
Opel,Corsa,43000,bencinski,1398,66,7590
Opel,Astra,200000,bencinski,1998,85,1000
Opel,Insignia,106108,diesel,1956,88,10450
Opel,Corsa,104334,bencinski,1398,74,5990
Opel,Insignia,190700,diesel,1956,88,9850
Opel,Zafira,131641,diesel,1956,96,10990
Opel,Astra,173000,bencinski,1598,74,1890
Opel,Astra,138000,bencinski,1598,85,4999
Opel,Astra,138000,bencinski,1364,66,3290
Opel,Zafira,115000,bencinski,1598,85,6050
