znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Suzuki,Grand,134546,bencinski,1590,69,2700
Suzuki,SX4,53173,diesel,1598,88,16200
Suzuki,Grand,197480,diesel,1870,95,6990
Suzuki,Swift,103000,bencinski,1328,68,4650
Suzuki,Jimny,181000,bencinski,1298,59,3850
Suzuki,SX4,175000,diesel,1956,99,6990
Suzuki,Samurai,153000,bencinski,1298,52,1990
Suzuki,SX4,104200,diesel,1910,88,6150
Suzuki,SX4,4700,bencinski,1373,103,20590
Suzuki,SX4,85933,bencinski,1586,88,14790
Suzuki,SX4,159800,bencinski,1586,79,6870
Suzuki,Vitara,11000,bencinski,1598,88,18290
Suzuki,Vitara,115020,diesel,1598,88,13999
Suzuki,Grand,212758,diesel,1870,95,7950
Suzuki,Grand,146969,diesel,1870,95,7950
Suzuki,Ignis,200000,bencinski,1328,69,1590
Suzuki,Grand,240000,bencinski,1995,103,6390
Suzuki,SX4,134851,diesel,1956,99,8999
Suzuki,SX4,134851,diesel,1956,99,8999
Suzuki,Wagon,174000,bencinski,1328,69,2350
Suzuki,Vitara,109542,bencinski,1590,59,4850
Suzuki,SX4,155000,diesel,1910,88,6950
