znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Toyota,RAV4,201000,diesel,1995,85,2790
Toyota,Land,280000,diesel,2982,92,10000
Toyota,RAV4,162500,diesel,2231,100,6300
Toyota,Yaris,270000,diesel,1364,66,4300
Toyota,Avensis,280000,diesel,1995,85,1600
Toyota,Auris,69404,bencinski,1197,85,12250
Toyota,Yaris,175906,bencinski,1298,64,3490
Toyota,Yaris,33200,bencinski,1329,73,11700
Toyota,Auris,57000,bencinski,1329,74,5850
Toyota,Yaris,185000,bencinski,998,48,1750
Toyota,Yaris,180000,bencinski,998,51,2790
Toyota,Avensis,333200,diesel,1995,81,1490
Toyota,Auris,189800,diesel,1998,93,3950
Toyota,Yaris,107000,bencinski,1329,73,7490
Toyota,Auris,150000,bencinski,1398,71,4890
Toyota,Yaris,175763,diesel,1364,66,6100
Toyota,Avensis,173468,diesel,2231,110,3990
Toyota,Urban,85000,diesel,1364,66,9900
Toyota,Yaris,146000,bencinski,1329,74,5699
Toyota,RAV4,184000,diesel,1998,91,12999
Toyota,Yaris,84770,bencinski,1329,75,8990
Toyota,Avensis,170000,diesel,2231,110,5900
Toyota,RAV4,263252,diesel,2231,100,5980
Toyota,Yaris,76518,bencinski,1329,73,8999
Toyota,Rav4,125840,diesel,1998,91,13999
Toyota,Auris,74000,bencinski,1329,73,10199
Toyota,Auris,153570,bencinski,1329,74,4999
Toyota,Auris,34028,diesel,1598,82,12000
Toyota,RAV4,171000,diesel,2231,130,7200
Toyota,Yaris,132733,bencinski,1329,74,5999
Toyota,Corolla,302000,diesel,2231,100,2200
Toyota,RAV4,238541,bencinski,1998,110,3950
Toyota,RAV4,110000,bencinski,1987,116,7000
Toyota,Avensis,169780,diesel,1998,91,9990
Toyota,RAV4,344112,diesel,2231,100,5280
Toyota,Corolla,257790,diesel,1995,85,2900
Toyota,RAV4,235000,diesel,2231,100,6100
Toyota,Corolla,244162,diesel,2231,100,3480
