znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Volkswagen,Golf,198777,diesel,1968,110,10550
Volkswagen,Passat,207100,diesel,1968,103,9650
Volkswagen,Touran,250000,diesel,1598,77,6500
Volkswagen,Passat,274600,diesel,1896,96,2880
Volkswagen,Golf,133944,diesel,1598,77,10550
Volkswagen,Touran,230000,diesel,1968,103,4999
Volkswagen,Polo,182000,diesel,1598,55,4499
Volkswagen,Polo,188000,bencinski,1390,55,1600
Volkswagen,Golf,210000,diesel,1598,66,5500
Volkswagen,Golf,277000,diesel,1896,77,2500
Volkswagen,Golf,165000,bencinski,1390,55,1690
Volkswagen,Polo,208000,diesel,1598,66,6250
Volkswagen,Passat,157573,diesel,1598,77,9900
Volkswagen,Golf,272000,diesel,1598,77,4500
Volkswagen,Passat,295000,diesel,1896,74,1980
Volkswagen,Touran,219000,diesel,1598,77,6950
Volkswagen,Passat,406300,diesel,1968,103,4990
Volkswagen,Passat,168300,diesel,1968,110,12990
Volkswagen,Golf,194000,diesel,1968,125,10200
Volkswagen,Passat,322400,diesel,1968,125,6100
Volkswagen,Polo,217000,diesel,1896,47,1499
Volkswagen,Touran,219000,diesel,1968,103,5200
Volkswagen,Golf,87000,diesel,1598,77,7950
Volkswagen,Passat,261000,diesel,1598,77,5000
Volkswagen,Passat,187000,diesel,1968,103,14299
Volkswagen,Golf,220000,diesel,1896,66,4100
Volkswagen,Golf,190000,bencinski,1197,77,11000
Volkswagen,Golf,150000,diesel,1598,81,10490
Volkswagen,Polo,113000,bencinski,1390,59,3600
Volkswagen,Golf,225252,bencinski,1984,147,6890
Volkswagen,Golf,152000,diesel,1598,77,10790
Volkswagen,Passat,221000,diesel,1968,103,4200
Volkswagen,Touran,218485,diesel,1598,77,8940
Volkswagen,Touran,276000,diesel,189,77,3200
Volkswagen,Amarok,168548,diesel,1986,120,15790
Volkswagen,Sharan,175000,diesel,1968,103,14950
Volkswagen,Golf,132000,diesel,1896,77,5990
Volkswagen,Sharan,276000,diesel,1968,85,9000
Volkswagen,Passat,260000,diesel,1896,77,4790
Volkswagen,Golf,50000,bencinski,1984,169,25250
