znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Audi,A6,280000,diesel,2967,176,10400
Audi,A6,266800,diesel,2967,165,4880
Audi,A4,188550,diesel,1968,105,11900
Audi,A4,220000,diesel,1968,105,13550
Audi,A4,309000,diesel,2496,132,2000
Audi,Q3,107600,diesel,1968,103,19444
Audi,A4,137469,bencinski,1595,75,3500
Audi,A4,308700,diesel,1896,74,2880
Audi,A6,178300,diesel,1968,140,16999
Audi,A4,280000,bencinski,1984,147,4500
Audi,A6,163200,diesel,1968,130,15999
Audi,A4,147758,diesel,1968,100,14800
Audi,Q7,286411,diesel,2967,171,13990
Audi,Q7,141100,diesel,2967,200,53777
Audi,A6,160000,diesel,2967,160,25500
Audi,A4,270000,diesel,1968,105,6990
Audi,A4,228000,diesel,1968,103,4390
Audi,A4,200000,diesel,1968,130,15300
Audi,A6,189728,diesel,1968,140,22999
Audi,A3,115000,bencinski,1595,75,6400
Audi,A6,136000,diesel,1968,140,22300
Audi,A4,235000,diesel,1968,105,6990
Audi,A3,140000,diesel,1968,110,15880
Audi,A6,187500,diesel,1968,130,18999
Audi,A4,149849,diesel,1968,105,13899
Audi,A3,249000,diesel,1896,77,3890
Audi,A4,319000,diesel,1896,85,5590
Audi,A4,217000,diesel,1968,105,8650
Audi,A5,198300,diesel,2967,150,16600
Audi,Q7,269000,diesel,2967,171,11900
Audi,Q3,12000,diesel,1968,103,16600
Audi,A1,131800,diesel,1598,77,8750
Audi,A4,198000,diesel,1968,105,11850
Audi,A4,226000,diesel,1968,103,5750
Audi,A4,317,diesel,2496,132,2850
Audi,A4,110799,diesel,1968,140,24890
Audi,A4,360000,diesel,1896,96,2490
Audi,A4,217066,diesel,1968,125,7990
Audi,A6,211619,diesel,2967,171,8950
Audi,A4,170600,diesel,1968,110,13444
Audi,A4,240000,diesel,1968,110,12990
Audi,A4,175212,diesel,1968,130,14250
BMW,318D,129490,diesel,1995,107,17990
BMW,118d,220000,diesel,1995,90,3250
BMW,525d,278000,diesel,2497,130,4999
BMW,318d,249300,diesel,1995,90,5490
BMW,320Cd,156395,diesel,1995,130,10999
BMW,318d,265500,diesel,1995,90,4400
BMW,320d,264000,diesel,1995,120,4600
BMW,320d,289987,diesel,1995,130,5990
BMW,118d,210000,diesel,1995,105,9750
BMW,318d,164223,diesel,1995,105,13880
BMW,116d,131651,diesel,1598,85,12990
BMW,318d,218000,diesel,1995,100,5990
BMW,320d,231358,diesel,1995,130,5900
BMW,730d,43900,diesel,2993,195,57218
BMW,320d,297000,diesel,1995,120,5750
BMW,316d,196000,diesel,1995,136,10700
BMW,318d,350000,diesel,1995,85,1990
BMW,118d,148000,diesel,1995,110,14440
BMW,525d,315000,diesel,2497,120,4300
BMW,120d,157000,diesel,1995,130,7190
BMW,520d,77000,diesel,1995,140,23200
BMW,216d,129257,diesel,1496,85,13990
BMW,730d,119000,diesel,2993,190,28500
BMW,520d,184000,diesel,1995,140,16490
BMW,216d,122490,diesel,1496,85,14990
BMW,216d,142841,diesel,1496,85,13990
BMW,318d,218000,diesel,1995,105,5950
BMW,318d,260000,diesel,1995,105,6990
Citroen,C4,114883,diesel,1560,88,11290
Citroen,C4,168500,bencinski,1598,88,1750
Citroen,C4,122590,diesel,1560,88,11590
Citroen,Berlingo,215000,diesel,1560,84,6300
Citroen,C3,188000,diesel,1398,50,3600
Citroen,DS5,154500,diesel,1997,120,13700
Citroen,C5,255000,diesel,1997,100,1550
Citroen,C4,219000,diesel,1560,82,3550
Citroen,C3,126000,diesel,1560,68,5450
Citroen,C4,47967,diesel,1560,68,10980
Citroen,C3,180432,bencinski,1360,65,2499
Citroen,C5,257000,diesel,1997,120,5390
Citroen,Xsara,201000,bencinski,1587,80,1800
Citroen,C4,86000,bencinski,1587,80,3200
Citroen,C5,320000,diesel,1997,100,3700
Citroen,C3,60600,bencinski,1199,60,6990
Citroen,C4,64566,bencinski,1598,88,6990
Citroen,C4,206336,diesel,1997,100,5990
Citroen,C4,214481,bencinski,1587,80,2190
Citroen,C3,99500,diesel,1560,68,8499
Citroen,C4,70200,diesel,1560,68,8500
Citroen,C4,111300,diesel,1997,110,11000
Citroen,C4,128733,diesel,1560,88,10290
Citroen,Xsara,220750,bencinski,1587,80,1700
Citroen,C5,198000,diesel,1997,103,5400
Citroen,C2,222646,bencinski,1360,54,1690
Citroen,C5,290000,diesel,1997,80,1100
Citroen,C5,144790,diesel,1997,103,8490
Citroen,C5,170000,diesel,1560,82,6900
Citroen,Xsara,170000,bencinski,1587,70,1350
Citroen,Xsara,117000,bencinski,1587,80,3290
Citroen,C4,117365,diesel,1560,88,11990
Citroen,C3,126000,bencinski,1360,54,1450
Citroen,C3,179900,diesel,1560,68,4750
Citroen,C4,190516,diesel,1997,120,8360
Citroen,Berlingo,238515,diesel,1997,66,2750
Citroen,DS5,95000,diesel,2000,134,16590
Citroen,C4,189000,bencinski,1587,80,2600
Citroen,C4,232000,diesel,1997,100,4150
Citroen,C5,370000,diesel,1997,80,1000
Fiat,Panda,161485,bencinski,1242,44,3490
Fiat,Punto,159457,diesel,1910,63,1050
Fiat,Panda,119000,diesel,1248,51,2990
Fiat,Cinquecento,113000,bencinski,1108,40,1650
Fiat,Croma,200000,diesel,1910,88,1999
Fiat,Punto,180000,bencinski,1242,44,1380
Fiat,Punto,166000,bencinski,1242,48,3690
Fiat,500C,130000,diesel,1248,55,6700
Fiat,Stilo,330000,diesel,1910,88,1450
Fiat,Croma,214000,diesel,2387,147,2490
Fiat,Bravo,213000,diesel,1598,77,4290
Fiat,Sedici,133000,diesel,1956,99,6990
Fiat,500C,30000,bencinski,569,16,13600
Fiat,Barchetta,100000,bencinski,1747,96,2299
Fiat,Freemont,157000,diesel,1956,103,8430
Fiat,Stilo,128000,diesel,1910,88,1999
Fiat,Multipla,252900,diesel,1910,77,1190
Fiat,500,98500,bencinski,1242,51,6550
Fiat,Doblo,262000,diesel,1910,77,1890
Fiat,500,35000,diesel,1248,70,8990
Fiat,Croma,205000,diesel,1910,88,2299
Fiat,Bravo,135000,bencinski,1368,110,4990
Fiat,Croma,201537,diesel,1910,88,3499
Fiat,Punto,160000,bencinski,1242,48,1990
Fiat,Punto,190000,bencinski,1242,59,1590
Fiat,Idea,178000,bencinski,1368,70,1990
Fiat,Bravo,107000,bencinski,1368,110,4790
Fiat,Stilo,232500,diesel,1910,103,1100
Fiat,Scudo,246000,diesel,1997,80,3150
Fiat,Punto,215000,bencinski,1368,57,1299
Fiat,Punto,174000,bencinski,1242,44,19900
Ford,S-Max,230000,diesel,1997,120,9300
Ford,Galaxy,357000,diesel,1896,110,2099
Ford,C-Max,81301,diesel,1997,103,8999
Ford,Focus,180000,diesel,1560,70,7250
Ford,S-Max,191000,diesel,1753,92,4100
Ford,S-Max,235000,diesel,1753,92,3490
Ford,Fiesta,143285,bencinski,1388,71,5100
Ford,Mondeo,206000,diesel,1997,103,4990
Ford,Focus,167858,diesel,1753,85,3880
Ford,Focus,218485,diesel,1560,74,3440
Ford,Focus,158800,diesel,1499,88,9990
Ford,Focus,102632,diesel,1997,110,10990
Ford,Mondeo,150602,diesel,1997,110,15990
Ford,Focus,121622,diesel,1997,110,11990
Ford,Mondeo,268614,diesel,1753,92,5450
Ford,Focus,230790,diesel,1753,85,2950
Ford,Focus,216000,diesel,1560,77,6900
Ford,Focus,251949,diesel,1560,85,4990
Ford,Mondeo,146230,diesel,1997,120,9390
Ford,Kuga,112476,diesel,1997,100,8200
Ford,Tourneo,240000,diesel,2000,82,3890
Ford,Galaxy,290633,diesel,1896,85,2890
Ford,S-Max,128789,diesel,1997,103,13990
Ford,C-Max,117503,diesel,1499,70,10290
Ford,C-Max,40000,bencinski,1596,74,5190
Ford,Mondeo,165441,diesel,1997,103,8990
Ford,S-Max,174000,diesel,1997,103,10990
Ford,C-Max,168000,diesel,1560,66,4480
Ford,Focus,191664,diesel,1560,70,7590
Ford,C-Max,163000,diesel,1560,85,6690
Ford,S-Max,291000,diesel,1997,103,2770
Ford,Ranger,130000,diesel,3200,149,25000
Ford,Focus,214000,diesel,1560,66,2590
Ford,S-Max,338000,diesel,1997,103,2999
Ford,Focus,195702,diesel,1753,66,1150
Ford,S-Max,119280,diesel,1997,154,22990
Ford,Focus,128848,diesel,1997,110,11999
Ford,Kuga,43059,diesel,1997,110,19990
Honda,CR-V,82926,diesel,1597,88,19950
Honda,Civic,176200,diesel,2204,103,4290
Honda,Accord,262900,diesel,2204,103,2800
Honda,HR-V,232000,bencinski,1590,77,1200
Honda,Civic,184300,bencinski,1590,81,2200
Honda,CR-V,81000,diesel,1597,118,23700
Honda,Jazz,115000,bencinski,1339,73,6200
Honda,Civic,156140,diesel,1597,88,9350
Honda,Jazz,146000,bencinski,1339,61,3390
Honda,Civic,148000,diesel,1597,88,12991
Honda,Accord,122210,bencinski,1997,115,12100
Honda,Civic,178000,bencinski,1590,81,1390
Honda,Civic,260000,diesel,2204,103,3490
Honda,Accord,336000,diesel,2199,110,6500
Honda,Civic,160000,bencinski,1590,81,1590
Honda,Legend,350000,bencinski,3471,217,4500
Honda,Accord,137214,diesel,2199,110,11810
Honda,Accord,400000,bencinski,1998,114,2100
Honda,Integra,179567,bencinski,1797,140,10700
Honda,Civic,71000,diesel,2199,110,10699
Honda,Jazz,48977,bencinski,1198,66,6790
Honda,CR-V,196000,bencinski,1998,110,3600
Honda,Accord,180000,diesel,2204,103,1950
Honda,CR-V,275000,diesel,2204,103,6000
Honda,Civic,82746,diesel,1597,88,12290
Honda,Accord,190000,bencinski,1998,114,2890
Honda,CR-V,102000,diesel,1597,88,18750
Honda,Accord,135000,bencinski,1998,114,4000
Honda,Civic,115000,diesel,1597,88,13790
Honda,Accord,202336,bencinski,1998,114,4500
Honda,Accord,216000,bencinski,2354,148,9390
Honda,FR-V,121503,bencinski,1668,92,5999
Honda,Accord,140850,bencinski,1997,115,12990
Honda,Civic,75981,diesel,1597,88,11270
Honda,Accord,281000,diesel,2199,110,7850
Honda,Accord,320000,diesel,2204,103,3450
Honda,Jazz,12000,bencinski,1318,75,13990
Honda,CR-V,229101,diesel,2204,103,7280
Honda,Jazz,93000,bencinski,1339,73,5490
Honda,HR-V,209806,bencinski,1590,77,1599
Honda,Jazz,278083,bencinski,1339,61,2000
Honda,Civic,182000,diesel,2204,103,4750
Kia,Picanto,87100,bencinski,999,46,2990
Kia,Sportage,99800,diesel,1685,85,11990
Kia,Rio,62230,bencinski,1248,62,6490
Kia,CeeD,71249,bencinski,1368,74,10990
Kia,Sportage,78000,diesel,1685,85,12500
Kia,Sportage,235395,diesel,1991,103,5599
Kia,Sportage,110000,diesel,1995,135,14990
Kia,CeeD,188000,diesel,1396,66,5699
Kia,Pro_CeeD,68700,bencinski,1396,73,7990
Kia,Pro_CeeD,14600,bencinski,1396,80,3370
Kia,Sportage,119950,diesel,1991,110,6999
Kia,Sportage,58420,diesel,1685,85,16999
Kia,Sportage,71960,bencinski,1591,99,14999
Kia,Sportage,79360,diesel,1685,85,16999
Kia,Sportage,42860,bencinski,1591,99,15999
Kia,Pro_CeeD,82200,bencinski,1591,93,4750
Kia,CeeD,41400,bencinski,1396,73,9690
Kia,CeeD,44000,bencinski,1368,74,11490
Kia,Sportage,68700,bencinski,1591,99,10999
Kia,CeeD,56849,bencinski,1591,92,5690
Kia,Pro_CeeD,97691,bencinski,1396,66,4800
Kia,Venga,157141,bencinski,1396,66,4690
Kia,Venga,133000,diesel,1582,94,5490
Kia,CeeD,122000,bencinski,1396,80,3190
Kia,Sorento,300000,diesel,2497,103,2700
Kia,Pro_CeeD,39050,bencinski,1396,73,8999
Kia,Pro_CeeD,110000,bencinski,1396,80,3890
Kia,Optima,51533,diesel,1685,104,20990
Kia,Sportage,87030,diesel,1685,85,15999
Kia,Sportage,25235,diesel,1685,85,16999
Kia,Sportage,45110,bencinski,1591,97,18999
Kia,CeeD,109400,diesel,1582,94,8999
Kia,Sportage,24855,diesel,1685,85,20960
Kia,CeeD,203000,bencinski,1396,66,3750
Kia,Pro_CeeD,115000,bencinski,1396,66,4300
Kia,CeeD,61000,bencinski,1368,74,10699
Kia,Pro_CeeD,51000,diesel,1582,94,10999
Kia,Sportage,57555,diesel,1685,85,14299
Kia,CeeD,193500,diesel,1991,103,3690
Kia,Sportage,149000,diesel,1685,85,10550
Kia,CeeD,109150,diesel,1582,94,8490
Kia,Sportage,119335,bencinski,1591,99,10999
Kia,Rio,130720,diesel,1396,66,6999
Kia,Stonic,15350,bencinski,1368,73,17999
Kia,CeeD,43211,bencinski,1368,74,10490
Kia,CeeD,132000,bencinski,1591,92,3999
Mercedes-Benz,E-Razred,64321,diesel,1950,110,34990
Mercedes-Benz,S-Razred,230000,bencinski,3199,165,6500
Mercedes-Benz,CLS-Razred,212700,diesel,2987,165,15800
Mercedes-Benz,E-Razred,118953,diesel,2143,150,22990
Mercedes-Benz,CLS-Razred,224000,diesel,2987,165,9900
Mercedes-Benz,C-Razred,156000,diesel,2143,100,11550
Mercedes-Benz,A-Razred,175000,diesel,1991,80,3500
Mercedes-Benz,E-Razred,126547,diesel,2143,150,22499
Mercedes-Benz,S-Razred,415515,diesel,2987,173,13900
Mercedes-Benz,C-Razred,116715,diesel,2143,125,20000
Mercedes-Benz,C-Razred,134000,bencinski,1796,90,5490
Mercedes-Benz,E-Razred,370000,diesel,2685,125,1290
Mercedes-Benz,CLA-Razred,6600,bencinski,1595,90,28200
Mercedes-Benz,E-Razred,248000,diesel,2700,130,6900
Mercedes-Benz,E-Razred,380000,diesel,2148,125,5300
Mercedes-Benz,E-Razred,134000,diesel,2143,125,24400
Mercedes-Benz,C-Razred,224400,diesel,2143,100,7980
Mercedes-Benz,C-Razred,144000,diesel,2143,150,26850
Mercedes-Benz,S-Razred,266265,diesel,2987,173,12765
Mercedes-Benz,SL-Razred,90000,bencinski,3498,200,25500
Mercedes-Benz,C-Razred,143679,diesel,2143,100,15500
Mercedes-Benz,C-Razred,172344,bencinski,1796,120,4199
Mercedes-Benz,C-Razred,230000,diesel,2143,125,10990
Mercedes-Benz,C-Razred,270127,diesel,2148,105,3490
Mercedes-Benz,C-Razred,35200,bencinski,1595,115,19990
Mercedes-Benz,E-Razred,259000,diesel,2987,165,7950
