znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Audi;A6;280000;diesel;2967;176;10.400
Audi;A6;266800;diesel;2967;165;4.880
Audi;A4;188550;diesel;1968;105;11.900
Audi;A4;220000;diesel;1968;105;13.550
Audi;A4;309000;diesel;2496;132;2.000
Audi;Q3;107600;diesel;1968;103;19.444
Audi;A4;137469;bencinski;1595;75;3.500
Audi;A4;308700;diesel;1896;74;2.880
Audi;A6;178300;diesel;1968;140;16.999
Audi;A4;280000;bencinski;1984;147;4.500
Audi;A6;163200;diesel;1968;130;15.999
Audi;A4;147758;diesel;1968;100;14.800
Audi;Q7;286411;diesel;2967;171;13.990
Audi;Q7;141100;diesel;2967;200;53.777
Audi;A6;160000;diesel;2967;160;25.500
Audi;A4;270000;diesel;1968;105;6.990
Audi;A4;228000;diesel;1968;103;4.390
Audi;A4;200000;diesel;1968;130;15.300
Audi;A6;189728;diesel;1968;140;22.999
Audi;A3;115000;bencinski;1595;75;6.400
Audi;A6;136000;diesel;1968;140;22.300
Audi;A4;235000;diesel;1968;105;6.990
Audi;A3;140000;diesel;1968;110;15.880
Audi;A6;187500;diesel;1968;130;18.999
Audi;A4;149849;diesel;1968;105;13.899
Audi;A3;249000;diesel;1896;77;3.890
Audi;A4;319000;diesel;1896;85;5.590
Audi;A4;217000;diesel;1968;105;8.650
Audi;A5;198300;diesel;2967;150;16.600
Audi;Q7;269000;diesel;2967;171;11.900
Audi;Q3;12000;diesel;1968;103;16.600
Audi;A1;131800;diesel;1598;77;8.750
Audi;A4;198000;diesel;1968;105;11.850
Audi;A4;226000;diesel;1968;103;5.750
Audi;A4;317;diesel;2496;132;2.850
Audi;A4;110799;diesel;1968;140;24.890
Audi;A4;360000;diesel;1896;96;2.490
Audi;A4;217066;diesel;1968;125;7.990
Audi;A6;211619;diesel;2967;171;8.950
Audi;A4;170600;diesel;1968;110;13.444
Audi;A4;240000;diesel;1968;110;12.990
Audi;A4;175212;diesel;1968;130;14.250
