znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
BMW;318D;129490;diesel;1995;107;17.990
BMW;118d;220000;diesel;1995;90;3.250
BMW;525d;278000;diesel;2497;130;4.999
BMW;318d;249300;diesel;1995;90;5.490
BMW;320Cd;156395;diesel;1995;130;10.999
BMW;318d;265500;diesel;1995;90;4.400
BMW;320d;264000;diesel;1995;120;4.600
BMW;320d;289987;diesel;1995;130;5.990
BMW;118d;210000;diesel;1995;105;9.750
BMW;318d;164223;diesel;1995;105;13.880
BMW;116d;131651;diesel;1598;85;12.990
BMW;318d;218000;diesel;1995;100;5.990
BMW;320d;231358;diesel;1995;130;5.900
BMW;730d;43900;diesel;2993;195;57.218
BMW;320d;297000;diesel;1995;120;5.750
BMW;316d;196000;diesel;1995;136;10.700
BMW;318d;350000;diesel;1995;85;1.990
BMW;118d;148000;diesel;1995;110;14.440
BMW;525d;315000;diesel;2497;120;4.300
BMW;120d;157000;diesel;1995;130;7.190
BMW;520d;77000;diesel;1995;140;23.200
BMW;216d;129257;diesel;1496;85;13.990
BMW;730d;119000;diesel;2993;190;28.500
BMW;520d;184000;diesel;1995;140;16.490
BMW;216d;122490;diesel;1496;85;14.990
BMW;216d;142841;diesel;1496;85;13.990
BMW;318d;218000;diesel;1995;105;5.950
BMW;318d;260000;diesel;1995;105;6.990
