znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Citroen;C4;114883;diesel;1560;88;11.290
Citroen;C4;168500;bencinski;1598;88;1.750
Citroen;C4;122590;diesel;1560;88;11.590
Citroen;Berlingo;215000;diesel;1560;84;6.300
Citroen;C3;188000;diesel;1398;50;3.600
Citroen;DS5;154500;diesel;1997;120;13.700
Citroen;C5;255000;diesel;1997;100;1.550
Citroen;C4;219000;diesel;1560;82;3.550
Citroen;C3;126000;diesel;1560;68;5.450
Citroen;C4;47967;diesel;1560;68;10.980
Citroen;C3;180432;bencinski;1360;65;2.499
Citroen;C5;257000;diesel;1997;120;5.390
Citroen;Xsara;201000;bencinski;1587;80;1.800
Citroen;C4;86000;bencinski;1587;80;3.200
Citroen;C5;320000;diesel;1997;100;3.700
Citroen;C3;60600;bencinski;1199;60;6.990
Citroen;C4;64566;bencinski;1598;88;6.990
Citroen;C4;206336;diesel;1997;100;5.990
Citroen;C4;214481;bencinski;1587;80;2.190
Citroen;C3;99500;diesel;1560;68;8.499
Citroen;C4;70200;diesel;1560;68;8.500
Citroen;C4;111300;diesel;1997;110;11.000
Citroen;C4;128733;diesel;1560;88;10.290
Citroen;Xsara;220750;bencinski;1587;80;1.700
Citroen;C5;198000;diesel;1997;103;5.400
Citroen;C2;222646;bencinski;1360;54;1.690
Citroen;C5;290000;diesel;1997;80;1.100
Citroen;C5;144790;diesel;1997;103;8.490
Citroen;C5;170000;diesel;1560;82;6.900
Citroen;Xsara;170000;bencinski;1587;70;1.350
Citroen;Xsara;117000;bencinski;1587;80;3.290
Citroen;C4;117365;diesel;1560;88;11.990
Citroen;C3;126000;bencinski;1360;54;1.450
Citroen;C3;179900;diesel;1560;68;4.750
Citroen;C4;190516;diesel;1997;120;8.360
Citroen;Berlingo;238515;diesel;1997;66;2.750
Citroen;DS5;95000;diesel;2000;134;16.590
Citroen;C4;189000;bencinski;1587;80;2.600
Citroen;C4;232000;diesel;1997;100;4.150
Citroen;C5;370000;diesel;1997;80;1.000
