znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Mercedes-Benz;E-Razred;64321;diesel;1950;110;34.990
Mercedes-Benz;S-Razred;230000;bencinski;3199;165;6.500
Mercedes-Benz;CLS-Razred;212700;diesel;2987;165;15.800
Mercedes-Benz;E-Razred;118953;diesel;2143;150;22.990
Mercedes-Benz;CLS-Razred;224000;diesel;2987;165;9.900
Mercedes-Benz;C-Razred;156000;diesel;2143;100;11.550
Mercedes-Benz;A-Razred;175000;diesel;1991;80;3.500
Mercedes-Benz;E-Razred;126547;diesel;2143;150;22.499
Mercedes-Benz;S-Razred;415515;diesel;2987;173;13.900
Mercedes-Benz;C-Razred;116715;diesel;2143;125;20.000
Mercedes-Benz;C-Razred;134000;bencinski;1796;90;5.490
Mercedes-Benz;E-Razred;370000;diesel;2685;125;1.290
Mercedes-Benz;CLA-Razred;6600;bencinski;1595;90;28.200
Mercedes-Benz;E-Razred;248000;diesel;2700;130;6.900
Mercedes-Benz;E-Razred;380000;diesel;2148;125;5.300
Mercedes-Benz;E-Razred;134000;diesel;2143;125;24.400
Mercedes-Benz;C-Razred;224400;diesel;2143;100;7.980
Mercedes-Benz;C-Razred;144000;diesel;2143;150;26.850
Mercedes-Benz;S-Razred;266265;diesel;2987;173;12.765
Mercedes-Benz;SL-Razred;90000;bencinski;3498;200;25.500
Mercedes-Benz;C-Razred;143679;diesel;2143;100;15.500
Mercedes-Benz;C-Razred;172344;bencinski;1796;120;4.199
Mercedes-Benz;C-Razred;230000;diesel;2143;125;10.990
Mercedes-Benz;C-Razred;270127;diesel;2148;105;3.490
Mercedes-Benz;C-Razred;35200;bencinski;1595;115;19.990
Mercedes-Benz;E-Razred;259000;diesel;2987;165;7.950
Mercedes-Benz;C-Razred;94523;diesel;2143;125;21.990
Mercedes-Benz;C-Razred;153962;diesel;2143;125;24.985
Mercedes-Benz;E-Razred;16000;bencinski;1991;135;41.500
Mercedes-Benz;C-Razred;185700;diesel;2143;125;20.990
Mercedes-Benz;ML-Razred;269740;diesel;2987;140;8.750
Mercedes-Benz;B-Razred;192144;diesel;1991;80;5.990
Mercedes-Benz;C-Razred;240000;diesel;2148;110;4.190
Mercedes-Benz;E-Razred;178448;diesel;2143;150;24.990
Mercedes-Benz;CLS-Razred;172400;diesel;2143;150;22.500
Mercedes-Benz;B-Razred;99481;diesel;1461;80;16.460
Mercedes-Benz;C-Razred;134870;diesel;1598;100;17.440
Mercedes-Benz;CLA-Razred;175000;diesel;2143;100;18.900
Mercedes-Benz;B-Razred;113000;diesel;1461;80;13.990
Mercedes-Benz;C-Razred;154000;diesel;2148;125;8.490
