znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Suzuki;Grand;134546;bencinski;1590;69;2.700
Suzuki;SX4;53173;diesel;1598;88;16.200
Suzuki;Grand;197480;diesel;1870;95;6.990
Suzuki;Swift;103000;bencinski;1328;68;4.650
Suzuki;Jimny;181000;bencinski;1298;59;3.850
Suzuki;SX4;175000;diesel;1956;99;6.990
Suzuki;Samurai;153000;bencinski;1298;52;1.990
Suzuki;SX4;104200;diesel;1910;88;6.150
Suzuki;SX4;4700;bencinski;1373;103;20.590
Suzuki;SX4;85933;bencinski;1586;88;14.790
Suzuki;SX4;159800;bencinski;1586;79;6.870
Suzuki;Vitara;11000;bencinski;1598;88;18.290
Suzuki;Vitara;115020;diesel;1598;88;13.999
Suzuki;Grand;212758;diesel;1870;95;7.950
Suzuki;Grand;146969;diesel;1870;95;7.950
Suzuki;Ignis;200000;bencinski;1328;69;1.590
Suzuki;Grand;240000;bencinski;1995;103;6.390
Suzuki;SX4;134851;diesel;1956;99;8.999
Suzuki;SX4;134851;diesel;1956;99;8.999
Suzuki;Wagon;174000;bencinski;1328;69;2.350
Suzuki;Vitara;109542;bencinski;1590;59;4.850
Suzuki;SX4;155000;diesel;1910;88;6.950
