znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Toyota;RAV4;201000;diesel;1995;85;2.790
Toyota;Land;280000;diesel;2982;92;10.000
Toyota;RAV4;162500;diesel;2231;100;6.300
Toyota;Yaris;270000;diesel;1364;66;4.300
Toyota;Avensis;280000;diesel;1995;85;1.600
Toyota;Auris;69404;bencinski;1197;85;12.250
Toyota;Yaris;175906;bencinski;1298;64;3.490
Toyota;Yaris;33200;bencinski;1329;73;11.700
Toyota;Auris;57000;bencinski;1329;74;5.850
Toyota;Yaris;185000;bencinski;998;48;1.750
Toyota;Yaris;180000;bencinski;998;51;2.790
Toyota;Avensis;333200;diesel;1995;81;1.490
Toyota;Auris;189800;diesel;1998;93;3.950
Toyota;Yaris;107000;bencinski;1329;73;7.490
Toyota;Auris;150000;bencinski;1398;71;4.890
Toyota;Yaris;175763;diesel;1364;66;6.100
Toyota;Avensis;173468;diesel;2231;110;3.990
Toyota;Urban;85000;diesel;1364;66;9.900
Toyota;Yaris;146000;bencinski;1329;74;5.699
Toyota;RAV4;184000;diesel;1998;91;12.999
Toyota;Yaris;84770;bencinski;1329;75;8.990
Toyota;Avensis;170000;diesel;2231;110;5.900
Toyota;RAV4;263252;diesel;2231;100;5.980
Toyota;Yaris;76518;bencinski;1329;73;8.999
Toyota;Rav4;125840;diesel;1998;91;13.999
Toyota;Auris;74000;bencinski;1329;73;10.199
Toyota;Auris;153570;bencinski;1329;74;4.999
Toyota;Auris;34028;diesel;1598;82;12.000
Toyota;RAV4;171000;diesel;2231;130;7.200
Toyota;Yaris;132733;bencinski;1329;74;5.999
Toyota;Corolla;302000;diesel;2231;100;2.200
Toyota;RAV4;238541;bencinski;1998;110;3.950
Toyota;RAV4;110000;bencinski;1987;116;7.000
Toyota;Avensis;169780;diesel;1998;91;9.990
Toyota;RAV4;344112;diesel;2231;100;5.280
Toyota;Corolla;257790;diesel;1995;85;2.900
Toyota;RAV4;235000;diesel;2231;100;6.100
Toyota;Corolla;244162;diesel;2231;100;3.480
