znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Volkswagen;Golf;198777;diesel;1968;110;10.550
Volkswagen;Passat;207100;diesel;1968;103;9.650
Volkswagen;Touran;250000;diesel;1598;77;6.500
Volkswagen;Passat;274600;diesel;1896;96;2.880
Volkswagen;Golf;133944;diesel;1598;77;10.550
Volkswagen;Touran;230000;diesel;1968;103;4.999
Volkswagen;Polo;182000;diesel;1598;55;4.499
Volkswagen;Polo;188000;bencinski;1390;55;1.600
Volkswagen;Golf;210000;diesel;1598;66;5.500
Volkswagen;Golf;277000;diesel;1896;77;2.500
Volkswagen;Golf;165000;bencinski;1390;55;1.690
Volkswagen;Polo;208000;diesel;1598;66;6.250
Volkswagen;Passat;157573;diesel;1598;77;9.900
Volkswagen;Golf;272000;diesel;1598;77;4.500
Volkswagen;Passat;295000;diesel;1896;74;1.980
Volkswagen;Touran;219000;diesel;1598;77;6.950
Volkswagen;Passat;406300;diesel;1968;103;4.990
Volkswagen;Passat;168300;diesel;1968;110;12.990
Volkswagen;Golf;194000;diesel;1968;125;10.200
Volkswagen;Passat;322400;diesel;1968;125;6.100
Volkswagen;Polo;217000;diesel;1896;47;1.499
Volkswagen;Touran;219000;diesel;1968;103;5.200
Volkswagen;Golf;87000;diesel;1598;77;7.950
Volkswagen;Passat;261000;diesel;1598;77;5.000
Volkswagen;Passat;187000;diesel;1968;103;14.299
Volkswagen;Golf;220000;diesel;1896;66;4.100
Volkswagen;Golf;190000;bencinski;1197;77;11.000
Volkswagen;Golf;150000;diesel;1598;81;10.490
Volkswagen;Polo;113000;bencinski;1390;59;3.600
Volkswagen;Golf;225252;bencinski;1984;147;6.890
Volkswagen;Golf;152000;diesel;1598;77;10.790
Volkswagen;Passat;221000;diesel;1968;103;4.200
Volkswagen;Touran;218485;diesel;1598;77;8.940
Volkswagen;Touran;276000;diesel;189;77;3.200
Volkswagen;Amarok;168548;diesel;1986;120;15.790
Volkswagen;Sharan;175000;diesel;1968;103;14.950
Volkswagen;Golf;132000;diesel;1896;77;5.990
Volkswagen;Sharan;276000;diesel;1968;85;9.000
Volkswagen;Passat;260000;diesel;1896;77;4.790
Volkswagen;Golf;50000;bencinski;1984;169;25.250
